id	title	milestone	labels	body_file
S2-T1	Dexie setup with versioning and migration strategy	S2 - Dexie Data Layer	phase/1,sprint/s2,type/tech-task,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S2-T1.md
S2-T2	Repositories for Transactions Rules Budgets Settings	S2 - Dexie Data Layer	phase/1,sprint/s2,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S2-T2.md
S2-T3	Initial seed data for rules and demo transactions	S2 - Dexie Data Layer	phase/1,sprint/s2,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S2-T3.md
S2-T4	Base transaction CRUD with validation	S2 - Dexie Data Layer	phase/1,sprint/s2,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S2-T4.md
S2-T5	Repository unit tests happy edge failure	S2 - Dexie Data Layer	phase/1,sprint/s2,type/tech-task,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S2-T5.md
S3-T1	History page UI and route integration	S3 - History	phase/1,sprint/s3,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S3-T1.md
S3-T2	Connect history list to repositories and store	S3 - History	phase/1,sprint/s3,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S3-T2.md
S3-T3	Reactive filters by owner category type and date range	S3 - History	phase/1,sprint/s3,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S3-T3.md
S3-T4	Edit and delete transactions from history	S3 - History	phase/1,sprint/s3,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S3-T4.md
S3-T5	Performance validation with 1000 records	S3 - History	phase/1,sprint/s3,type/tech-task,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S3-T5.md
S4-T1	Rules management UI CRUD	S4 - Rules Engine	phase/1,sprint/s4,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S4-T1.md
S4-T2	Keyword matching engine for rule assignment	S4 - Rules Engine	phase/1,sprint/s4,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S4-T2.md
S4-T3	Auto apply matching rule on transaction creation	S4 - Rules Engine	phase/1,sprint/s4,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S4-T3.md
S4-T4	Manual override rule assignment from history	S4 - Rules Engine	phase/1,sprint/s4,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S4-T4.md
S4-T5	Rule matching tests and precedence coverage	S4 - Rules Engine	phase/1,sprint/s4,type/tech-task,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S4-T5.md
S5-T1	Budget UI per rule	S5 - Budget Engine	phase/2,sprint/s5,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S5-T1.md
S5-T2	Spent aggregation by monthly quarterly yearly period	S5 - Budget Engine	phase/2,sprint/s5,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S5-T2.md
S5-T3	Usage percent progress and over budget indicator	S5 - Budget Engine	phase/2,sprint/s5,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S5-T3.md
S5-T4	Threshold alerts at 80 and 100 percent	S5 - Budget Engine	phase/2,sprint/s5,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S5-T4.md
S6-T1	Total spent remaining and savings metrics	S6 - Real Dashboard	phase/2,sprint/s6,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S6-T1.md
S6-T2	Month over month comparison metrics	S6 - Real Dashboard	phase/2,sprint/s6,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S6-T2.md
S6-T3	ApexCharts integration for trend and category views	S6 - Real Dashboard	phase/2,sprint/s6,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S6-T3.md
S6-T4	Dashboard empty loading and error states	S6 - Real Dashboard	phase/2,sprint/s6,type/tech-task,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S6-T4.md
S7-T1	Feature flags splitModeEnabled and splitType	S7 - Split Mode	phase/2,sprint/s7,type/tech-task,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S7-T1.md
S7-T2	Equal and proportional split calculation engine	S7 - Split Mode	phase/2,sprint/s7,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S7-T2.md
S7-T3	Owner aware totals balances and contribution views	S7 - Split Mode	phase/2,sprint/s7,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S7-T3.md
S7-T4	Split specific dashboard widgets	S7 - Split Mode	phase/2,sprint/s7,type/feature,priority/p2	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S7-T4.md
S8-T1	Monthly and quarterly report generation pipeline	S8 - Reports	phase/2,sprint/s8,type/feature,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S8-T1.md
S8-T2	PDF export implementation	S8 - Reports	phase/2,sprint/s8,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S8-T2.md
S8-T3	Excel export implementation	S8 - Reports	phase/2,sprint/s8,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S8-T3.md
S8-T4	Report breakdown by rule and owner	S8 - Reports	phase/2,sprint/s8,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S8-T4.md
S9-T1	Spending anomaly detector baseline	S9 - Insights v1	phase/3,sprint/s9,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S9-T1.md
S9-T2	Financial health score v1	S9 - Insights v1	phase/3,sprint/s9,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S9-T2.md
S9-T3	Insight cards integration in dashboard	S9 - Insights v1	phase/3,sprint/s9,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S9-T3.md
S10-T1	End of month spending projection	S10 - Forecasting	phase/3,sprint/s10,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S10-T1.md
S10-T2	Savings goal forecast and gap calculation	S10 - Forecasting	phase/3,sprint/s10,type/feature,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S10-T2.md
S10-T3	What changed indicators for forecast explainability	S10 - Forecasting	phase/3,sprint/s10,type/feature,priority/p2	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S10-T3.md
S11-T1	Accessibility audit and remediation	S11 - Quality Hardening	phase/3,sprint/s11,type/tech-task,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S11-T1.md
S11-T2	Performance profiling and optimization pass	S11 - Quality Hardening	phase/3,sprint/s11,type/tech-task,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S11-T2.md
S11-T3	Error boundary and offline resilience review	S11 - Quality Hardening	phase/3,sprint/s11,type/tech-task,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S11-T3.md
S11-T4	E2E critical path tests	S11 - Quality Hardening	phase/3,sprint/s11,type/tech-task,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S11-T4.md
S12-T1	Contributor onboarding docs refinement	S12 - OSS Beta Readiness	phase/3,sprint/s12,type/docs,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S12-T1.md
S12-T2	Good first issues curation and labeling	S12 - OSS Beta Readiness	phase/3,sprint/s12,type/docs,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S12-T2.md
S12-T3	Changelog and release process baseline	S12 - OSS Beta Readiness	phase/3,sprint/s12,type/tech-task,priority/p1	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S12-T3.md
S12-T4	OSS beta release checklist execution	S12 - OSS Beta Readiness	phase/3,sprint/s12,type/tech-task,priority/p0	/Users/rlahoz/Desktop/data/Development/Mobile/Ledgerly/frontend/src/app/documents/issues/remaining/markdown/S12-T4.md
