id	title	milestone	type	priority	goal	scope	acceptance
S2-T1	Dexie setup with versioning and migration strategy	S2 - Dexie Data Layer	tech-task	p0	Establish an offline database foundation that supports schema evolution without data loss.	Create Dexie database service and table definitions;Define schema versioning policy and migration hooks;Document migration strategy for future model changes;Validate DB initialization lifecycle in app startup	Dexie instance initializes successfully on app start;Version upgrades run without runtime errors;Migration path is documented in project docs;No data loss on compatible schema upgrade
S2-T2	Repositories for Transactions Rules Budgets Settings	S2 - Dexie Data Layer	feature	p0	Implement repository abstraction to isolate storage access from feature logic.	Create repository contracts and concrete Dexie implementations;Implement TransactionsRepo RulesRepo BudgetsRepo SettingsRepo;Ensure typed methods for list get create update delete;Keep repositories independent from UI concerns	All four repositories compile and are injectable;CRUD methods return typed results;Feature code can consume repositories without touching Dexie directly;Repository boundaries follow core architecture rules
S2-T3	Initial seed data for rules and demo transactions	S2 - Dexie Data Layer	feature	p1	Provide deterministic initial data for local development and functional demos.	Define seed payload for base rules and sample transactions;Implement idempotent seed routine with version safety;Add opt in trigger for seeding in dev context;Document how to reset and reseed local database	Seed runs without duplicate records on repeated execution;Sample data appears in UI flows after seeding;Seed can be disabled in production runtime;Reseed instructions are documented
S2-T4	Base transaction CRUD with validation	S2 - Dexie Data Layer	feature	p0	Enable core create read update delete operations for transactions.	Implement create and read list by date;Implement update and delete by id;Add input validation guards for required fields and type;Return predictable errors for invalid operations	User can create edit delete transaction in local store;Invalid payloads are rejected safely;Read operations support deterministic ordering;CRUD behavior survives app reload
S2-T5	Repository unit tests happy edge failure	S2 - Dexie Data Layer	tech-task	p0	Guarantee repository reliability through baseline automated tests.	Add unit tests per repository for normal flow;Add edge tests for empty datasets and missing records;Add failure tests for invalid input and operation errors;Include test fixtures and cleanup utilities	Test suite covers happy edge and error paths;Tests run deterministically without shared state;Coverage includes all critical repository methods;CI passes with repository tests enabled
S3-T1	History page UI and route integration	S3 - History	feature	p0	Deliver the history screen baseline integrated in navigation.	Create History page structure and route setup;Implement list container and summary header area;Connect page to layout shell and tab activation;Add loading and empty placeholders	History route is accessible from tabs;Page renders correctly on mobile layout;Loading and empty states are visible when applicable;No navigation regressions introduced
S3-T2	Connect history list to repositories and store	S3 - History	feature	p0	Bind history UI to real local data with reactive state flow.	Create history feature store for list state;Load data from TransactionsRepo into store;Map entities into view models for rendering;Handle refresh and initial load lifecycle	History list displays real transaction data;Store remains source of truth for page state;Data refresh updates UI without reload;Errors are captured into error state
S3-T3	Reactive filters by owner category type and date range	S3 - History	feature	p1	Enable practical filtering controls for fast transaction exploration.	Add filter model in history store;Implement owner category type date range filter logic;Apply filters reactively with computed selectors;Show active filter indicators and reset action	Filter changes update results immediately;Combined filters produce correct subset;Reset returns complete list state;Filter logic is covered by unit tests
S3-T4	Edit and delete transactions from history	S3 - History	feature	p1	Allow users to correct and remove transactions directly from history.	Add edit action and inline or modal editing flow;Add delete action with confirmation step;Persist changes through repository updates;Refresh list state after operations	Edited transactions reflect updated values in list;Delete removes transaction and updates totals;Confirmation prevents accidental deletion;Error state is shown on failed operations
S3-T5	Performance validation with 1000 records	S3 - History	tech-task	p1	Validate user experience remains fluid for realistic local datasets.	Generate test dataset with at least 1000 transactions;Profile render and filtering interactions;Optimize list rendering strategy and trackBy usage;Document performance findings and thresholds	List remains responsive with 1000 records;Filter interaction remains near instant in normal device profile;No major frame drops on scroll;Performance notes are documented in ticket outcome
S4-T1	Rules management UI CRUD	S4 - Rules Engine	feature	p0	Provide full interface to manage categorization rules.	Build rules list create edit delete flows;Support color name owner and keywords fields;Validate required inputs and duplicate prevention;Integrate with rules repository and store	Users can create edit delete rules;Validation messages appear for invalid input;Rules list updates immediately after changes;State persists across reload
S4-T2	Keyword matching engine for rule assignment	S4 - Rules Engine	feature	p0	Create deterministic keyword based matching for automatic categorization.	Implement matching utility with normalization rules;Define precedence and tie breaker behavior;Support multi keyword matching per rule;Expose matcher through service for reuse	Matcher assigns expected rule for known inputs;Precedence behavior is deterministic;No uncaught errors on empty or malformed descriptions;Unit tests cover matching edge cases
S4-T3	Auto apply matching rule on transaction creation	S4 - Rules Engine	feature	p0	Apply categorization automatically when new transactions are added.	Hook matching engine into transaction creation flow;Fallback gracefully when no rule matches;Persist assigned ruleId in transaction record;Emit state update for immediate UI reflection	New matching transaction receives ruleId automatically;No match case still creates transaction safely;History and dashboard reflect assigned category;Creation flow remains performant
S4-T4	Manual override rule assignment from history	S4 - Rules Engine	feature	p1	Allow users to override automatic categorization when needed.	Add UI action to change transaction rule;Update repository and refresh dependent views;Log override reason optionally in state metadata;Keep UX quick with minimal taps	User can reassign a transaction category manually;Updated rule persists and is visible after reload;Totals and charts update after reassignment;No regression in standard edit flow
S4-T5	Rule matching tests and precedence coverage	S4 - Rules Engine	tech-task	p0	Ensure matching behavior remains stable as rules evolve.	Add unit tests for exact match partial match and no match;Add precedence tests for competing rules;Add tests for case insensitivity and symbol noise;Document matcher assumptions in test descriptions	Test suite protects precedence contract;Known edge cases are covered by tests;Any matcher regression fails tests clearly;CI remains green with new suite
S5-T1	Budget UI per rule	S5 - Budget Engine	feature	p0	Expose budget management for each rule category.	Create budget list and editor linked to rules;Support amount and period selection;Show current spent versus configured budget;Add empty state when no budgets configured	Users can create and edit budget entries by rule;Budget rows show configured amount and period;UI handles empty and loading states;Data persists locally
S5-T2	Spent aggregation by monthly quarterly yearly period	S5 - Budget Engine	feature	p0	Compute spent values accurately for configured budget periods.	Implement aggregation service by rule and period;Handle month quarter year boundaries correctly;Support timezone safe date comparisons;Expose derived values to budget store	Spent values are correct for each period type;Boundary dates are included correctly;Computation is deterministic for same dataset;Aggregation tests cover period transitions
